"authorstr","Year","Source.title","Cited.by"
"Gonsalves M.-J. et al.","2011","Environmental Monitoring and Assessment",28
"Sui J.-L. et al.","2011","International Journal of Systematic and Evolutionary Microbiology",28
"Ceccon D.M. et al.","2019","Science of the Total Environment",27
"Kemung H.M. et al.","2020","Molecules",27
"Priya G. et al.","2018","Agri Gene",27
"Manimaran M. et al.","2017","Proceedings of the National Academy of Sciences India Section B - Biological Sciences",27
"Pan Y. et al.","2017","Marine Pollution Bulletin",27
"Al-Amoudi S. et al.","2016","Marine Drugs",27
"Arunasri K. et al.","2005","International Journal of Systematic and Evolutionary Microbiology",27
"Abu-Tahon M.A. and Isaac G.S.","2020","Journal of General and Applied Microbiology",26
"Li F. et al.","2019","Evidence-based Complementary and Alternative Medicine",26
"Shahnawaz M. et al.","2016","Environmental Science and Pollution Research",26
"Gong B. et al.","2017","Brazilian Journal of Microbiology",26
"Tseng M. et al.","2011","International Journal of Systematic and Evolutionary Microbiology",26
"Krishnan K.P. et al.","2007","Marine Pollution Bulletin",26
"do Carmo F.L. et al.","2011","Journal of Microbiology",26
"Shiau Y.-J. et al.","2018","Microbial Ecology",25
"Xu Y. et al.","2017","Science of the Total Environment",25
"Marinho F. et al.","2018","Sydowia",25
"Mai Z. et al.","2016","International Journal of Molecular Sciences",25
"Pupin B. and Nahas E.","2014","Journal of Applied Microbiology",25
"Hong Y. et al.","2012","Applied Microbiology and Biotechnology",25
"Thawai C. et al.","2008","International Journal of Systematic and Evolutionary Microbiology",25
"Kemung H.M. et al.","2020","BioMed Research International",24
"Das D. et al.","2019","Biocatalysis and Agricultural Biotechnology",24
"Wang W. et al.","2017","Scientific Reports",24
"Teymouri M. et al.","2016","Biocatalysis and Agricultural Biotechnology",24
"Behera B.C. et al.","2016","Biocatalysis and Biotransformation",24
"Basak P. et al.","2015","Genomics Data",24
"Xie Q.-Y. et al.","2012","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",24
"Liu J. et al.","2012","Canadian Journal of Microbiology",24
"Hart M.G.R.","1959","Plant and Soil",24
"Lin G. et al.","2021","Science of the Total Environment",23
"Cabral L. et al.","2018","Ecotoxicology and Environmental Safety",23
"Herrera Silveira J.A. et al.","2016","Terra Latinoamericana",23
"Al-Amoudi S. et al.","2016","Gene",23
"Miyahara M. et al.","2016","Bioresource Technology",23
"Balakrishnan B. et al.","2017","Environmental Earth Sciences",23
"Van-Thuoc D. et al.","2015","Applied Biochemistry and Biotechnology",23
"Wang F. et al.","2011","International Journal of Systematic and Evolutionary Microbiology",23
